name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
A-29,China,Aviation,2.3,2.0,2.0,727.0,1596.0,1277.0,False,106,50,106,130,106,100
A5M4,Japan,Aviation,1.3,1.3,1.3,311.0,935.0,823.0,False,100,20,100,70,100,170
A7He1,Japan,Aviation,2.3,2.0,2.3,600.0,1180.0,2000.0,True,212,60,212,160,212,280
Ar-2,USSR,Aviation,2.7,2.3,2.7,960.0,1996.0,1809.0,False,112,60,112,200,112,190
B-10B,USA,Aviation,1.7,1.3,1.7,440.0,940.0,960.0,True,200,60,200,140,200,200
B-18A,USA,Aviation,2.0,1.3,1.7,973.0,1822.0,1921.0,False,112,100,112,200,112,280
B.R.20M_M1,Italy,Aviation,1.7,1.7,1.7,670.0,1758.0,1960.0,False,106,0,106,0,106,0
B17B,Sweden,Aviation,1.3,1.3,1.3,365.0,1044.0,994.0,False,100,20,100,60,100,80
B3C,Sweden,Aviation,1.3,1.3,1.3,399.0,1247.0,1123.0,False,100,30,100,90,100,90
B5N2,Japan,Aviation,1.3,1.7,2.3,561.0,1123.0,2495.0,False,106,40,106,170,106,290
Ba.65_(K.14)_L,Italy,Aviation,1.3,1.3,1.3,163.0,188.0,226.0,False,100,20,100,40,100,100
BB-1,USSR,Aviation,1.7,1.3,1.7,327.0,528.0,818.0,False,100,20,100,60,100,130
Beaufort_Mk_VIII,Britain,Aviation,2.0,2.0,2.3,619.0,1277.0,1214.0,False,106,70,106,170,106,210
Bf_109_B-1,Germany,Aviation,1.3,1.3,1.3,162.0,424.0,2246.0,False,100,10,100,40,100,260
Bf_109_E-1,Germany,Aviation,1.7,2.3,2.0,511.0,1634.0,1247.0,False,106,20,106,90,106,100
Blenheim_Mk_IV,Britain,Aviation,2.0,2.0,1.7,457.0,851.0,1080.0,False,100,50,100,120,100,120
BR.20_DR,Italy,Aviation,1.7,1.7,1.7,449.0,1999.0,1198.0,False,100,0,100,0,100,0
Br.693AB2,France,Aviation,1.7,1.7,1.7,523.0,817.0,1340.0,False,106,30,106,80,106,150
C.200_serie_3,Italy,Aviation,1.7,1.7,1.7,451.0,1204.0,941.0,False,106,40,106,100,106,180
C.200_serie_3_(Germany),Germany,Aviation,1.7,1.7,1.7,414.0,1104.0,1380.0,False,106,30,106,100,106,160
