name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
A-29,China,Aviation,2.3,2.0,2.0,452.0,1138.0,1646.0,False,106.0,20.0,106.0,70.0,106.0,130.0
A5M4,Japan,Aviation,1.3,1.3,1.3,187.0,287.0,325.0,False,100.0,10.0,100.0,20.0,100.0,40.0
A7He1,Japan,Aviation,2.3,2.0,2.3,1030.0,830.0,530.0,True,212.0,60.0,212.0,80.0,212.0,160.0
Aichi_E13A1,Japan,Aviation,1.3,1.3,1.3,,,,False,,,,,,
Ar_196_A-3,Germany,Aviation,1.7,1.3,1.7,820.0,1100.0,320.0,True,200.0,40.0,200.0,40.0,200.0,120.0
Ar_196_A-5_(Sweden),Sweden,Aviation,1.7,1.3,1.7,860.0,180.0,230.0,True,200.0,40.0,200.0,40.0,200.0,100.0
Ar-2,USSR,Aviation,2.7,2.3,2.7,525.0,1376.0,1688.0,False,112.0,20.0,112.0,80.0,112.0,230.0
B-10B,USA,Aviation,1.3,1.3,1.7,330.0,690.0,110.0,True,200.0,40.0,200.0,100.0,200.0,140.0
B-18A,USA,Aviation,1.3,1.3,1.7,387.0,1150.0,925.0,False,106.0,30.0,106.0,90.0,106.0,180.0
B-239_(Sweden),Sweden,Aviation,2.7,2.3,2.3,276.0,590.0,1117.0,False,106.0,20.0,106.0,40.0,106.0,90.0
B.R.20DR,Italy,Aviation,1.7,1.7,1.7,287.0,836.0,795.0,False,100.0,10.0,100.0,40.0,100.0,110.0
B.R.20M_M1,Italy,Aviation,1.7,1.7,1.7,403.0,1281.0,1392.0,False,106.0,20.0,106.0,60.0,106.0,170.0
B17B,Sweden,Aviation,1.3,1.3,1.3,226.0,580.0,504.0,False,100.0,10.0,100.0,30.0,100.0,100.0
B3C,Sweden,Aviation,1.0,1.3,1.3,262.0,725.0,638.0,False,100.0,20.0,100.0,70.0,100.0,50.0
B5N2,Japan,Aviation,1.0,1.3,1.7,350.0,800.0,287.0,False,100.0,10.0,100.0,30.0,100.0,60.0
Ba.65_(K.14)_L,Italy,Aviation,1.3,1.3,1.3,242.0,134.0,107.0,False,100.0,10.0,100.0,20.0,100.0,60.0
BB-1,USSR,Aviation,1.7,1.3,1.7,151.0,189.0,138.0,False,100.0,10.0,100.0,20.0,100.0,60.0
