name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
cn_al_khalid_1,China,Ground_vehicles,11.0,11.0,11.0,3275,3302,3876.0,True,476,300,476,390,476,470.0
cn_antelope_tc_1l_ads,China,Ground_vehicles,10.3,10.3,10.3,6864,6793,7780.0,False,238,160,238,200,238,240.0
cn_cm11,China,Ground_vehicles,9.3,9.3,9.3,6261,6362,8130.0,False,226,160,226,200,226,240.0
cn_cm_25,China,Ground_vehicles,8.7,8.7,8.7,5877,6730,7129.0,False,214,160,214,210,214,250.0
cn_gmc_cckw_353_m45_quad,China,Ground_vehicles,2.3,2.3,2.3,578,488,759.0,False,112,30,112,40,112,50.0
cn_hj_9,China,Ground_vehicles,9.0,9.0,9.0,6324,6964,7915.0,False,226,160,226,210,226,250.0
cn_isu_122,China,Ground_vehicles,5.3,5.3,5.3,3743,4352,6097.0,False,166,120,166,180,166,230.0
cn_isu_152,China,Ground_vehicles,4.7,4.7,4.7,1556,1865,2467.0,False,142,80,142,120,142,150.0
cn_is_2_1943,China,Ground_vehicles,6.3,6.3,6.3,4932,5359,7376.0,False,172,120,172,190,172,210.0
cn_is_2_1943_no402,China,Ground_vehicles,6.3,6.3,6.3,2629,2925,4053.0,True,356,250,356,380,356,430.0
cn_is_2_1944,China,Ground_vehicles,6.7,6.7,6.7,5849,6025,8272.0,False,178,140,178,190,178,220.0
cn_lvt_4_zis_2,China,Ground_vehicles,2.3,2.3,2.3,510,594,713.0,False,112,30,112,50,112,60.0
cn_m10,China,Ground_vehicles,3.7,3.3,3.3,912,1094,1329.0,False,124,50,124,80,124,100.0
cn_m113a1_tow,China,Ground_vehicles,8.3,8.3,8.3,5856,6417,8015.0,False,202,160,202,210,202,250.0
cn_m18_hellcat,China,Ground_vehicles,5.3,6.0,6.0,2863,3687,4329.0,False,166,100,166,150,166,190.0
cn_m24_chaffee,China,Ground_vehicles,3.3,3.7,3.7,1055,1204,1430.0,False,130,50,130,70,130,100.0
cn_m36,China,Ground_vehicles,5.3,5.3,5.3,3080,3613,5007.0,False,160,110,160,170,160,210.0
cn_m3a3_stuart,China,Ground_vehicles,2.3,2.7,2.7,627,717,888.0,False,118,40,118,40,118,50.0
cn_m3a3_stuart_1st_ptg,China,Ground_vehicles,2.3,2.7,2.7,659,430,622.0,True,224,70,224,70,224,80.0
cn_m41_a3_walker_bulldog,China,Ground_vehicles,5.3,5.3,5.3,1173,1361,1721.0,True,320,180,320,260,320,350.0
cn_m42_duster,China,Ground_vehicles,5.0,4.0,4.0,1687,1328,1952.0,False,136,70,136,90,136,140.0
cn_m48a1_patton_iii,China,Ground_vehicles,7.7,7.7,7.7,5460,6168,8693.0,False,190,130,190,200,190,220.0
cn_m4a1_76w_sherman,China,Ground_vehicles,4.0,4.0,4.0,1430,1677,2189.0,False,142,70,142,100,142,120.0
cn_m4a4_sherman,China,Ground_vehicles,3.7,3.7,3.7,1097,1301,1638.0,False,130,50,130,80,130,90.0
cn_m4a4_sherman_1st_ptg,China,Ground_vehicles,3.7,3.7,3.7,624,709,1815.0,True,272,120,272,180,272,250.0
cn_m5a1_stuart,China,Ground_vehicles,2.3,2.7,2.7,805,914,1168.0,False,124,50,124,60,124,60.0
cn_m60a3_tts,China,Ground_vehicles,9.0,9.0,9.0,6234,6472,8009.0,False,220,150,220,200,220,240.0
cn_m8_greyhound,China,Ground_vehicles,1.0,1.0,1.0,0,0,0.0,False,100,10,100,10,100,10.0
cn_m8_scott,China,Ground_vehicles,1.3,1.3,1.3,115,132,156.0,False,100,10,100,20,100,20.0
cn_mbt2000,China,Ground_vehicles,11.0,11.0,11.0,6640,6532,7682.0,False,238,150,238,200,238,230.0
cn_m_41d,China,Ground_vehicles,7.7,8.0,8.0,4886,5613,6853.0,False,208,120,208,170,208,200.0
cn_object_122tm,China,Ground_vehicles,8.7,8.7,8.7,6188,6733,8604.0,False,214,140,214,200,214,240.0
cn_object_211,China,Ground_vehicles,5.0,5.0,5.0,1380,1700,2074.0,False,148,80,148,110,148,140.0
cn_pgz_04a,China,Ground_vehicles,9.3,9.3,9.3,7035,6564,6891.0,False,232,160,232,210,232,250.0
cn_pgz_09,China,Ground_vehicles,8.3,8.3,8.3,6797,5794,7041.0,False,214,150,214,190,214,230.0
cn_plz_05,China,Ground_vehicles,7.7,7.7,7.7,6157,6455,10555.0,False,190,150,190,210,190,250.0
cn_plz_83,China,Ground_vehicles,6.3,6.3,6.3,4818,5412,7345.0,False,178,130,178,200,178,250.0
cn_plz_83_130,China,Ground_vehicles,7.3,7.3,7.3,6552,6737,10956.0,False,190,150,190,210,190,240.0
cn_ptl_02,China,Ground_vehicles,8.7,9.0,9.0,5375,5611,6499.0,False,220,130,220,170,220,210.0
cn_ptz_89,China,Ground_vehicles,9.0,9.0,9.0,6295,6966,7919.0,False,220,160,220,210,220,250.0
cn_pt_76,China,Ground_vehicles,5.0,5.0,5.0,1745,2151,2641.0,False,154,80,154,120,154,160.0
cn_qn506,China,Ground_vehicles,10.0,10.0,10.0,5815,5569,7423.0,False,232,140,232,170,232,220.0
cn_sdkfz_222_early,China,Ground_vehicles,1.3,1.3,1.3,131,115,179.0,False,100,10,100,10,100,20.0
cn_su_100_1945,China,Ground_vehicles,6.0,6.0,6.0,4279,4974,6517.0,False,172,120,172,190,172,250.0
cn_su_76m_1943,China,Ground_vehicles,2.0,2.0,2.0,381,408,512.0,False,106,20,106,30,106,40.0
cn_tor_m1,China,Ground_vehicles,11.7,11.7,11.7,7968,9494,10653.0,False,250,160,250,210,250,200.0
cn_type_58,China,Ground_vehicles,5.7,5.7,5.7,4026,4804,6003.0,False,172,110,172,180,172,210.0
cn_type_59,China,Ground_vehicles,8.0,8.0,8.0,5653,6296,8927.0,False,196,130,196,200,196,230.0
cn_type_59d,China,Ground_vehicles,8.3,8.3,8.3,5970,6199,7676.0,False,208,140,208,190,208,230.0
cn_type_62,China,Ground_vehicles,6.7,6.7,6.7,3835,4685,6277.0,False,178,110,178,150,178,200.0
cn_type_63_i,China,Ground_vehicles,6.3,6.3,6.3,3602,4378,5867.0,False,172,110,172,150,172,190.0
