name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
A-29,China,Aviation,2.3,2.0,2.0,741.0,1841.0,2174.0,False,106.0,40.0,106.0,90.0,106.0,90.0
A5M4,Japan,Aviation,1.3,1.3,1.3,187.0,487.0,500.0,False,100.0,10.0,100.0,30.0,100.0,100.0
A7He1,Japan,Aviation,2.3,2.0,2.3,850.0,1400.0,1680.0,True,212.0,60.0,212.0,140.0,212.0,220.0
Ar_196_A-3,Germany,Aviation,1.7,1.7,1.7,670.0,1880.0,1700.0,True,200.0,40.0,200.0,80.0,200.0,180.0
Ar-2,USSR,Aviation,2.7,2.3,2.7,900.0,2301.0,2251.0,False,112.0,40.0,112.0,120.0,112.0,110.0
B-10B,USA,Aviation,1.7,1.3,1.7,560.0,1200.0,730.0,True,200.0,60.0,200.0,140.0,200.0,200.0
B-18A,USA,Aviation,2.0,1.3,1.7,663.0,1976.0,1951.0,False,106.0,60.0,106.0,130.0,106.0,160.0
B.R.20DR,Italy,Aviation,1.7,1.7,1.7,450.0,1301.0,1050.0,False,100.0,20.0,100.0,60.0,100.0,90.0
B.R.20M_M1,Italy,Aviation,1.7,1.7,1.7,645.0,2025.0,1671.0,False,106.0,30.0,106.0,90.0,106.0,110.0
B17B,Sweden,Aviation,1.3,1.3,1.3,403.0,996.0,1361.0,False,100.0,20.0,100.0,50.0,100.0,100.0
B17BS,Sweden,Aviation,1.3,1.3,1.3,252.0,693.0,327.0,False,100.0,20.0,100.0,50.0,100.0,80.0
B3C,Sweden,Aviation,1.3,1.3,1.3,450.0,1251.0,1501.0,False,100.0,30.0,100.0,80.0,100.0,60.0
B5N2,Japan,Aviation,1.3,1.7,2.3,587.0,1376.0,2602.0,False,106.0,40.0,106.0,140.0,106.0,170.0
Ba.65_(K.14)_L,Italy,Aviation,1.3,1.3,1.3,214.0,239.0,226.0,False,100.0,10.0,100.0,30.0,100.0,160.0
BB-1,USSR,Aviation,1.7,1.3,1.7,239.0,340.0,731.0,False,100.0,10.0,100.0,30.0,100.0,70.0
Beaufort_Mk_VIII,Britain,Aviation,2.0,2.0,2.3,721.0,1772.0,1645.0,False,106.0,60.0,106.0,130.0,106.0,160.0
Bf_109_B-1,Germany,Aviation,1.3,1.3,1.3,225.0,475.0,1876.0,False,100.0,10.0,100.0,30.0,100.0,160.0
Bf_109_E-1,Germany,Aviation,1.7,2.3,2.0,600.0,1751.0,1501.0,False,106.0,20.0,106.0,70.0,106.0,90.0
Blenheim_Mk_IV,Britain,Aviation,2.0,2.0,1.7,483.0,1259.0,1055.0,False,100.0,30.0,100.0,90.0,100.0,100.0
Br.693AB2,France,Aviation,1.7,1.7,1.7,422.0,1074.0,1176.0,False,100.0,10.0,100.0,40.0,100.0,70.0
Breda_88_(P.XI),Italy,Aviation,2.0,1.7,2.0,810.0,1371.0,2119.0,False,106.0,30.0,106.0,70.0,106.0,180.0
