name,nation,cls,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
A-29,China,Aviation,2.3,2.0,2.0,844.0,2302.0,2174.0,False,106.0,50.0,106.0,100.0,106.0,110.0
A5M4,Japan,Aviation,1.3,1.3,1.3,225.0,512.0,437.0,False,100.0,10.0,100.0,40.0,100.0,120.0
A7He1,Japan,Aviation,2.3,2.0,2.3,830.0,1700.0,2100.0,True,212.0,40.0,212.0,160.0,212.0,220.0
Ar_196_A-3,Germany,Aviation,1.7,1.7,1.7,840.0,2360.0,2130.0,True,200.0,40.0,200.0,100.0,200.0,160.0
Ar-2,USSR,Aviation,2.7,2.3,2.7,1138.0,2877.0,2752.0,False,112.0,50.0,112.0,150.0,112.0,130.0
B-10B,USA,Aviation,1.7,1.3,1.7,710.0,1200.0,920.0,True,200.0,60.0,200.0,160.0,200.0,180.0
B-18A,USA,Aviation,2.0,1.3,1.7,700.0,2476.0,2439.0,False,106.0,80.0,106.0,160.0,106.0,190.0
B.R.20DR,Italy,Aviation,1.7,1.7,1.7,462.0,1626.0,1326.0,False,100.0,30.0,100.0,70.0,100.0,70.0
B.R.20M_M1,Italy,Aviation,1.7,1.7,1.7,708.0,2532.0,2101.0,False,106.0,40.0,106.0,100.0,106.0,100.0
B17B,Sweden,Aviation,1.3,1.3,1.3,466.0,1197.0,1134.0,False,100.0,20.0,100.0,60.0,100.0,120.0
B17BS,Sweden,Aviation,1.3,1.3,1.3,290.0,832.0,340.0,False,100.0,20.0,100.0,60.0,100.0,90.0
B3C,Sweden,Aviation,1.3,1.3,1.3,487.0,1576.0,1889.0,False,100.0,40.0,100.0,100.0,100.0,60.0
B5N2,Japan,Aviation,1.3,1.7,2.3,725.0,1626.0,3252.0,False,106.0,50.0,106.0,160.0,106.0,200.0
Ba.65_(K.14)_L,Italy,Aviation,1.3,1.3,1.3,214.0,289.0,352.0,False,100.0,10.0,100.0,40.0,100.0,140.0
BB-1,USSR,Aviation,1.7,1.3,1.7,252.0,353.0,756.0,False,100.0,10.0,100.0,40.0,100.0,90.0
Beaufort_Mk_VIII,Britain,Aviation,2.0,2.0,2.3,746.0,1899.0,1696.0,False,106.0,70.0,106.0,150.0,106.0,190.0
Bf_109_B-1,Germany,Aviation,1.3,1.3,1.3,225.0,500.0,2164.0,False,100.0,10.0,100.0,40.0,100.0,180.0
Bf_109_E-1,Germany,Aviation,1.7,2.3,2.0,738.0,2126.0,1501.0,False,106.0,20.0,106.0,80.0,106.0,100.0
Blenheim_Mk_IV,Britain,Aviation,2.0,2.0,1.7,508.0,1399.0,1106.0,False,100.0,40.0,100.0,110.0,100.0,120.0
Br.693AB2,France,Aviation,1.7,1.7,1.7,537.0,1253.0,1266.0,False,100.0,20.0,100.0,50.0,100.0,90.0
Breda_88_(P.XI),Italy,Aviation,2.0,1.7,2.0,1022.0,1621.0,2493.0,False,106.0,40.0,106.0,90.0,106.0,210.0
C.200_serie_3,Italy,Aviation,1.7,1.7,1.7,678.0,1884.0,1632.0,False,106.0,30.0,106.0,90.0,106.0,160.0
C.200_serie_3_(Germany),Germany,Aviation,1.7,1.7,1.7,565.0,1256.0,1632.0,False,106.0,30.0,106.0,70.0,106.0,150.0
C.200_serie_7,Italy,Aviation,1.7,2.0,2.0,904.0,2009.0,2097.0,False,112.0,30.0,112.0,130.0,112.0,180.0
C.200_serie_7_(Germany),Germany,Aviation,1.7,2.0,2.0,665.0,2022.0,2512.0,False,106.0,20.0,106.0,90.0,106.0,130.0
C.202_(Germany),Germany,Aviation,2.3,2.3,2.3,1038.0,2532.0,2152.0,False,112.0,40.0,112.0,100.0,112.0,180.0
C.R.714,France,Aviation,1.3,1.3,1.3,212.0,400.0,325.0,False,100.0,10.0,100.0,40.0,100.0,60.0
Catalina_Mk_IIIa_(Great_Britain),Britain,Aviation,2.0,1.7,2.0,640.0,2400.0,1400.0,True,212.0,100.0,212.0,260.0,212.0,200.0
CR.32,Italy,Aviation,1.0,1.0,1.0,0.0,0.0,0.0,False,100.0,10.0,100.0,20.0,100.0,120.0
CR.32_bis,Italy,Aviation,1.7,1.7,1.7,440.0,1200.0,960.0,True,200.0,20.0,200.0,60.0,200.0,140.0
CR.32_quater,Italy,Aviation,1.0,1.0,1.0,0.0,0.0,0.0,False,100.0,10.0,100.0,20.0,100.0,100.0
CR.42,Italy,Aviation,1.3,1.3,1.3,213.0,401.0,552.0,False,100.0,10.0,100.0,30.0,100.0,100.0
CR.42_(Germany),Germany,Aviation,1.3,1.3,1.3,163.0,376.0,640.0,False,100.0,10.0,100.0,30.0,100.0,70.0
CW-21,China,Aviation,2.0,2.0,2.0,519.0,1392.0,1228.0,False,100.0,20.0,100.0,40.0,100.0,70.0
D.371,France,Aviation,1.0,1.0,1.0,0.0,0.0,0.0,False,100.0,10.0,100.0,20.0,100.0,80.0
D.371_H.S.9,France,Aviation,1.3,1.3,1.3,520.0,1300.0,1300.0,True,200.0,20.0,200.0,100.0,200.0,180.0
D.373,France,Aviation,1.0,1.0,1.0,0.0,0.0,0.0,False,100.0,10.0,100.0,20.0,100.0,90.0
D.500,France,Aviation,1.0,1.0,1.0,0.0,0.0,0.0,False,100.0,10.0,100.0,20.0,100.0,80.0
D.501,France,Aviation,1.3,1.3,1.3,336.0,436.0,910.0,False,100.0,10.0,100.0,30.0,100.0,80.0
D3A1,Japan,Aviation,1.3,1.3,1.3,252.0,378.0,378.0,False,100.0,20.0,100.0,50.0,100.0,120.0
Do_17_E-1,Germany,Aviation,1.0,1.0,1.3,277.0,151.0,327.0,False,100.0,40.0,100.0,80.0,100.0,120.0
Do_17_Z-2,Germany,Aviation,1.7,1.7,1.7,453.0,996.0,1248.0,False,100.0,30.0,100.0,80.0,100.0,80.0
Do_17_Z-7,Germany,Aviation,1.7,1.3,1.3,524.0,741.0,1151.0,False,100.0,30.0,100.0,90.0,100.0,130.0
Do_217_J-1,Germany,Aviation,2.7,2.0,2.7,693.0,1542.0,3276.0,False,106.0,40.0,106.0,140.0,106.0,220.0
Do_217_J-2,Germany,Aviation,2.7,2.7,3.0,809.0,2184.0,1927.0,False,112.0,50.0,112.0,190.0,112.0,180.0
F.222.2,France,Aviation,1.3,1.3,1.3,300.0,663.0,587.0,False,100.0,20.0,100.0,30.0,100.0,40.0
F1M2,Japan,Aviation,1.0,1.0,1.0,226.0,290.0,453.0,False,100.0,20.0,100.0,50.0,100.0,120.0
F2A-1,USA,Aviation,2.0,2.3,2.3,506.0,1392.0,1025.0,False,100.0,10.0,100.0,40.0,100.0,150.0
F2A-3,USA,Aviation,2.7,2.7,2.3,766.0,1758.0,1758.0,False,106.0,20.0,106.0,80.0,106.0,100.0
F3F-2,USA,Aviation,1.7,1.3,1.3,227.0,417.0,595.0,False,100.0,10.0,100.0,30.0,100.0,120.0
Flegel%27s_Bf_109_A,Germany,Aviation,1.3,1.3,1.3,260.0,470.0,460.0,True,150.0,40.0,150.0,120.0,150.0,220.0
Fury_Mk_I,Britain,Aviation,1.0,1.0,1.0,0.0,0.0,0.0,False,100.0,10.0,100.0,40.0,100.0,110.0
Fury_Mk_II,Britain,Aviation,1.0,1.0,1.0,0.0,0.0,0.0,False,100.0,10.0,100.0,40.0,100.0,70.0
Fw_189_A-1,Germany,Aviation,1.7,1.7,1.7,610.0,1510.0,1300.0,True,200.0,20.0,200.0,40.0,200.0,140.0
G.50_AS_serie_7,Italy,Aviation,1.7,1.7,2.0,665.0,1632.0,1884.0,False,106.0,20.0,106.0,90.0,106.0,100.0
G.50_AS_serie_7_(Germany),Germany,Aviation,1.7,1.7,2.0,414.0,854.0,942.0,False,100.0,20.0,100.0,50.0,100.0,70.0
G.50_serie_2,Italy,Aviation,1.7,1.7,1.7,477.0,1381.0,1130.0,False,100.0,20.0,100.0,50.0,100.0,80.0
G.50_serie_2_(Germany),Germany,Aviation,1.7,1.7,1.7,401.0,1193.0,1230.0,False,100.0,20.0,100.0,50.0,100.0,50.0
Galer%27s_F3F-2,USA,Aviation,1.7,1.3,1.3,280.0,540.0,160.0,True,150.0,40.0,150.0,120.0,150.0,280.0
Gladiator_Mk_I_(China),China,Aviation,1.0,1.0,1.0,0.0,0.0,0.0,False,100.0,10.0,100.0,30.0,100.0,110.0
Gladiator_Mk_II,Britain,Aviation,1.3,1.3,1.3,250.0,512.0,525.0,False,100.0,10.0,100.0,40.0,100.0,80.0
Gladiator_Mk_IIF,Britain,Aviation,1.3,1.3,1.3,287.0,675.0,700.0,False,100.0,10.0,100.0,50.0,100.0,70.0
Gladiator_Mk_IIS,Britain,Aviation,1.3,1.3,1.3,400.0,1376.0,913.0,False,100.0,10.0,100.0,30.0,100.0,70.0
H-75A-1,France,Aviation,1.3,1.7,1.7,500.0,1376.0,475.0,False,100.0,20.0,100.0,50.0,100.0,80.0
H-75A-4,France,Aviation,1.7,2.0,2.0,725.0,1876.0,2039.0,False,106.0,20.0,106.0,70.0,106.0,100.0
H6K4,Japan,Aviation,2.0,1.7,2.3,784.0,1924.0,2532.0,False,106.0,60.0,106.0,160.0,106.0,170.0
H8K2,Japan,Aviation,3.3,3.3,3.7,1088.0,3620.0,2911.0,False,112.0,50.0,112.0,140.0,112.0,140.0
Hagiri%27s_A5M4,Japan,Aviation,1.3,1.3,1.3,240.0,540.0,400.0,True,150.0,40.0,150.0,100.0,150.0,200.0
Hampden_Mk_I,Britain,Aviation,1.7,1.7,1.7,479.0,1525.0,1210.0,False,100.0,40.0,100.0,80.0,100.0,90.0
Hampden_TB_Mk_I,Britain,Aviation,1.7,1.7,1.7,668.0,1513.0,1765.0,False,106.0,40.0,106.0,90.0,106.0,110.0
Hampden_TB_Mk_I_(USSR),USSR,Aviation,1.7,1.7,2.0,710.0,2100.0,1800.0,True,212.0,40.0,212.0,160.0,212.0,260.0
Havoc_Mk_I_(Great_Britain),Britain,Aviation,2.0,2.0,2.3,630.0,1500.0,1170.0,True,200.0,80.0,200.0,220.0,200.0,180.0
Hawk_H-75A-2_(Germany),Germany,Aviation,2.7,2.7,2.3,680.0,2100.0,1800.0,True,212.0,40.0,212.0,180.0,212.0,200.0
Hawk_III,China,Aviation,1.3,1.3,1.3,290.0,520.0,250.0,True,150.0,60.0,150.0,100.0,150.0,140.0
He_111_H-3,Germany,Aviation,1.7,1.7,2.3,512.0,1801.0,1751.0,False,100.0,30.0,100.0,60.0,100.0,80.0
He_112_A-0,Germany,Aviation,1.7,1.3,2.3,568.0,1013.0,729.0,False,100.0,20.0,100.0,40.0,100.0,190.0
He_112_B-0,Germany,Aviation,2.3,2.0,2.3,746.0,1772.0,1810.0,False,106.0,30.0,106.0,90.0,106.0,180.0
He_112_B-1/U2,Germany,Aviation,2.3,2.3,2.3,700.0,1600.0,1300.0,True,212.0,60.0,212.0,200.0,212.0,300.0
He_112_B-2/U2,Germany,Aviation,2.3,2.3,2.3,820.0,1500.0,1300.0,True,212.0,40.0,212.0,140.0,212.0,220.0
He_112_V-5,Germany,Aviation,1.3,1.3,1.7,212.0,412.0,250.0,False,100.0,10.0,100.0,50.0,100.0,140.0
He_51_A-1,Germany,Aviation,1.0,1.0,1.0,0.0,0.0,0.0,False,100.0,10.0,100.0,40.0,100.0,90.0
